"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.018612355893496
"[0,15)","[15,25)",0.046908652186602
"[0,15)","[25,50)",0.192666856946035
"[0,15)","[50,70)",0.083989282601413
"[0,15)","[70,Inf)",0.00288909532380026
"[15,25)","[0,15)",0.0598286993411213
"[15,25)","[15,25)",0.501095883659819
"[15,25)","[25,50)",1.07609280071395
"[15,25)","[50,70)",0.446782943956721
"[15,25)","[70,Inf)",0.0285906850861072
"[25,50)","[0,15)",0.108582852074978
"[25,50)","[15,25)",0.47549652919381
"[25,50)","[25,50)",2.78885719354629
"[25,50)","[50,70)",1.14686343075612
"[25,50)","[70,Inf)",0.0834078601002753
"[50,70)","[0,15)",0.0503023104296785
"[50,70)","[15,25)",0.209799302469559
"[50,70)","[25,50)",1.21876937842551
"[50,70)","[50,70)",0.847358203461138
"[50,70)","[70,Inf)",0.0673751345176232
"[70,Inf)","[0,15)",0.00522501997365618
"[70,Inf)","[15,25)",0.0405409609613592
"[70,Inf)","[25,50)",0.267657138458774
"[70,Inf)","[50,70)",0.203451861391078
"[70,Inf)","[70,Inf)",0.0178661188332842
