"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",6.03374855308206
"[0,15)","[15,25)",0.831082204804103
"[0,15)","[25,50)",1.07368007709074
"[0,15)","[50,70)",0.155471592060142
"[0,15)","[70,Inf)",0.0183188960669236
"[15,25)","[0,15)",1.94526218951118
"[15,25)","[15,25)",5.47755842168046
"[15,25)","[25,50)",1.58500448911589
"[15,25)","[50,70)",0.196042870195538
"[15,25)","[70,Inf)",0.0162105031936676
"[25,50)","[0,15)",1.90868681317533
"[25,50)","[15,25)",1.20380491717806
"[25,50)","[25,50)",2.38494835768624
"[25,50)","[50,70)",0.370758203966093
"[25,50)","[70,Inf)",0.0272805465923777
"[50,70)","[0,15)",1.02265996458111
"[50,70)","[15,25)",0.550930858594628
"[50,70)","[25,50)",1.37186444244611
"[50,70)","[50,70)",0.5037871883132
"[50,70)","[70,Inf)",0.0582295805465675
"[70,Inf)","[0,15)",0.633290046255345
"[70,Inf)","[15,25)",0.23942290576599
"[70,Inf)","[25,50)",0.530513759668388
"[70,Inf)","[50,70)",0.306031983106186
"[70,Inf)","[70,Inf)",0.0973584833488026
