"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0141998797901042
"[0,15)","[15,25)",0.0419446452976347
"[0,15)","[25,50)",0.378826624299625
"[0,15)","[50,70)",0.0416292795053071
"[0,15)","[70,Inf)",0.000226438687323026
"[15,25)","[0,15)",0.0499410679147087
"[15,25)","[15,25)",0.521200546295686
"[15,25)","[25,50)",2.44064791292869
"[15,25)","[50,70)",0.242302381260209
"[15,25)","[70,Inf)",0.00258535752907866
"[25,50)","[0,15)",0.0909646553371709
"[25,50)","[15,25)",0.492216330443137
"[25,50)","[25,50)",5.76560291298908
"[25,50)","[50,70)",0.559872985268254
"[25,50)","[70,Inf)",0.00620757690900125
"[50,70)","[0,15)",0.0544906836410232
"[50,70)","[15,25)",0.266378853713081
"[50,70)","[25,50)",3.05197302311708
"[50,70)","[50,70)",0.528272691863696
"[50,70)","[70,Inf)",0.00613524223573355
"[70,Inf)","[0,15)",0.00444381611251265
"[70,Inf)","[15,25)",0.0426132602273496
"[70,Inf)","[25,50)",0.507335643618585
"[70,Inf)","[50,70)",0.0919843201914952
"[70,Inf)","[70,Inf)",0.00182601225914084
