"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.62106623320633
"[0,15)","[15,25)",0.414134298493534
"[0,15)","[25,50)",2.15221348406659
"[0,15)","[50,70)",0.540089447465487
"[0,15)","[70,Inf)",0.0963472253989092
"[15,25)","[0,15)",0.679554980929816
"[15,25)","[15,25)",0.956189516246833
"[15,25)","[25,50)",1.28259062600119
"[15,25)","[50,70)",0.620891571923413
"[15,25)","[70,Inf)",0.0780146670248291
"[25,50)","[0,15)",1.22165940182113
"[25,50)","[15,25)",0.443679594387239
"[25,50)","[25,50)",1.33514773648891
"[25,50)","[50,70)",0.598035813666175
"[25,50)","[70,Inf)",0.108841770599676
"[50,70)","[0,15)",0.485236804015601
"[50,70)","[15,25)",0.339954196409731
"[50,70)","[25,50)",0.946564997246277
"[50,70)","[50,70)",0.973417891583846
"[50,70)","[70,Inf)",0.166649021106277
"[70,Inf)","[0,15)",0.252235800224006
"[70,Inf)","[15,25)",0.124468763049745
"[70,Inf)","[25,50)",0.501993760112745
"[70,Inf)","[50,70)",0.48560398227253
"[70,Inf)","[70,Inf)",0.336794214858732
