"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.61306354404677
"[0,15)","[15,25)",0.280369883808105
"[0,15)","[25,50)",0.719312504056396
"[0,15)","[50,70)",0.248446684059801
"[0,15)","[70,Inf)",0.00332450173259868
"[15,25)","[0,15)",0.418938918073997
"[15,25)","[15,25)",3.592101455951
"[15,25)","[25,50)",0.604166349601752
"[15,25)","[50,70)",0.18236716547475
"[15,25)","[70,Inf)",0.000858111996437636
"[25,50)","[0,15)",0.436014426310232
"[25,50)","[15,25)",0.245364268815364
"[25,50)","[25,50)",0.290327598210132
"[25,50)","[50,70)",0.0663910756489992
"[25,50)","[70,Inf)",0.000980810609296358
"[50,70)","[0,15)",0.253255748467274
"[50,70)","[15,25)",0.124550266175173
"[50,70)","[25,50)",0.111648163996535
"[50,70)","[50,70)",0.0621307962545453
"[50,70)","[70,Inf)",0.00351842228993212
"[70,Inf)","[0,15)",0.0117544154159361
"[70,Inf)","[15,25)",0.0020327798631971
"[70,Inf)","[25,50)",0.00572105835219451
"[70,Inf)","[50,70)",0.0122028107032135
"[70,Inf)","[70,Inf)",0.00291642844354253
