"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.54057918318725
"[0,15)","[15,25)",0.25101929425012
"[0,15)","[25,50)",0.683731781146433
"[0,15)","[50,70)",0.239944428408501
"[0,15)","[70,Inf)",0.00620054647882099
"[15,25)","[0,15)",0.385426298609011
"[15,25)","[15,25)",3.39701050140647
"[15,25)","[25,50)",0.566620466281595
"[15,25)","[50,70)",0.173848763573783
"[15,25)","[70,Inf)",0.00149380786621011
"[25,50)","[0,15)",0.383234585245006
"[25,50)","[15,25)",0.206546979113407
"[25,50)","[25,50)",0.275371925833579
"[25,50)","[50,70)",0.065722867106918
"[25,50)","[70,Inf)",0.00163168186267406
"[50,70)","[0,15)",0.201581591244014
"[50,70)","[15,25)",0.0949815122153416
"[50,70)","[25,50)",0.0985091965117628
"[50,70)","[50,70)",0.0614352590344101
"[50,70)","[70,Inf)",0.00649269600489785
"[70,Inf)","[0,15)",0.0101188199183231
"[70,Inf)","[15,25)",0.00158533816930484
"[70,Inf)","[25,50)",0.00475068743548569
"[70,Inf)","[50,70)",0.0126116094734221
"[70,Inf)","[70,Inf)",0.00425006577158297
