"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",6.75100247301436
"[0,15)","[15,25)",1.02109172284233
"[0,15)","[25,50)",3.71695474936971
"[0,15)","[50,70)",1.45941073385351
"[0,15)","[70,Inf)",0.343922314625101
"[15,25)","[0,15)",1.37596462009517
"[15,25)","[15,25)",6.32686073238944
"[15,25)","[25,50)",5.002492900098
"[15,25)","[50,70)",1.97240335328849
"[15,25)","[70,Inf)",0.344139712384139
"[25,50)","[0,15)",1.59834620126319
"[25,50)","[15,25)",1.59634791287358
"[25,50)","[25,50)",6.83313924437726
"[25,50)","[50,70)",3.13615321311574
"[25,50)","[70,Inf)",0.582535964274589
"[50,70)","[0,15)",0.783873988584282
"[50,70)","[15,25)",0.786179903536668
"[50,70)","[25,50)",3.91726010501993
"[50,70)","[50,70)",3.78921242832551
"[50,70)","[70,Inf)",1.02515129249879
"[70,Inf)","[0,15)",0.340750178168315
"[70,Inf)","[15,25)",0.253027670197136
"[70,Inf)","[25,50)",1.34219278570442
"[70,Inf)","[50,70)",1.89101503977165
"[70,Inf)","[70,Inf)",1.28064807714502
