"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.18157558097286
"[0,15)","[15,25)",0.578248035151457
"[0,15)","[25,50)",1.58960232850171
"[0,15)","[50,70)",0.441894752211598
"[0,15)","[70,Inf)",0.054091734044607
"[15,25)","[0,15)",0.968904320309966
"[15,25)","[15,25)",3.70422047573573
"[15,25)","[25,50)",2.3080650071044
"[15,25)","[50,70)",0.566830817181757
"[15,25)","[70,Inf)",0.0503959605434958
"[25,50)","[0,15)",0.965368671764164
"[25,50)","[15,25)",0.836538668272505
"[25,50)","[25,50)",3.29137582403907
"[25,50)","[50,70)",1.05515795954
"[25,50)","[70,Inf)",0.0832419185232491
"[50,70)","[0,15)",0.510421829039818
"[50,70)","[15,25)",0.390748322662304
"[50,70)","[25,50)",2.00688812904088
"[50,70)","[50,70)",1.47445099693384
"[50,70)","[70,Inf)",0.17844644480104
"[70,Inf)","[0,15)",0.303897798527984
"[70,Inf)","[15,25)",0.168976243272613
"[70,Inf)","[25,50)",0.770076765797845
"[70,Inf)","[50,70)",0.867948894804469
"[70,Inf)","[70,Inf)",0.263191441892168
