"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.55034660244432
"[0,15)","[15,25)",0.255152378455081
"[0,15)","[25,50)",0.760441701934094
"[0,15)","[50,70)",0.232286602389873
"[0,15)","[70,Inf)",0.00220021791588633
"[15,25)","[0,15)",0.425699799349527
"[15,25)","[15,25)",3.47280333939462
"[15,25)","[25,50)",0.634013289362539
"[15,25)","[50,70)",0.171314038064688
"[15,25)","[70,Inf)",0.000582526238340587
"[25,50)","[0,15)",0.461817765731467
"[25,50)","[15,25)",0.229812149849664
"[25,50)","[25,50)",0.326522509627697
"[25,50)","[50,70)",0.0632890155209353
"[25,50)","[70,Inf)",0.000652706231273541
"[50,70)","[0,15)",0.268308577687092
"[50,70)","[15,25)",0.118096389598411
"[50,70)","[25,50)",0.120374342071967
"[50,70)","[50,70)",0.0592157414088638
"[50,70)","[70,Inf)",0.00239416983297357
"[70,Inf)","[0,15)",0.012361248769882
"[70,Inf)","[15,25)",0.00195319415089952
"[70,Inf)","[25,50)",0.00603823064763752
"[70,Inf)","[50,70)",0.0116431274927066
"[70,Inf)","[70,Inf)",0.00207331434449066
