"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0402395837062771
"[0,15)","[15,25)",0.0564720147084737
"[0,15)","[25,50)",0.162448947825761
"[0,15)","[50,70)",0.0207360073437454
"[0,15)","[70,Inf)",0.000382533864188266
"[15,25)","[0,15)",0.129869394483865
"[15,25)","[15,25)",0.668742686029295
"[15,25)","[25,50)",0.957652363711154
"[15,25)","[50,70)",0.109534874543197
"[15,25)","[70,Inf)",0.00396531483482137
"[25,50)","[0,15)",0.267243142106358
"[25,50)","[15,25)",0.685052755982177
"[25,50)","[25,50)",2.55862645204391
"[25,50)","[50,70)",0.282206776184979
"[25,50)","[70,Inf)",0.0109269956395577
"[50,70)","[0,15)",0.134757027334889
"[50,70)","[15,25)",0.309531723312669
"[50,70)","[25,50)",1.11481821275421
"[50,70)","[50,70)",0.233022264366847
"[50,70)","[70,Inf)",0.0097980290895088
"[70,Inf)","[0,15)",0.0126312788216926
"[70,Inf)","[15,25)",0.0569352950281184
"[70,Inf)","[25,50)",0.219325201746095
"[70,Inf)","[50,70)",0.0497840099372686
"[70,Inf)","[70,Inf)",0.00308125382482349
