"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.56874617546345
"[0,15)","[15,25)",0.246191445934397
"[0,15)","[25,50)",0.651730972439586
"[0,15)","[50,70)",0.271119680372069
"[0,15)","[70,Inf)",0.00754485447373081
"[15,25)","[0,15)",0.362485880715381
"[15,25)","[15,25)",3.32688971207282
"[15,25)","[25,50)",0.535773710291155
"[15,25)","[50,70)",0.193782302469859
"[15,25)","[70,Inf)",0.00176584161299386
"[25,50)","[0,15)",0.341251486145278
"[25,50)","[15,25)",0.190367224082113
"[25,50)","[25,50)",0.251290447579289
"[25,50)","[50,70)",0.0734006913607435
"[25,50)","[70,Inf)",0.00192687901950644
"[50,70)","[0,15)",0.178165719317522
"[50,70)","[15,25)",0.0864103590548017
"[50,70)","[25,50)",0.0921208301348939
"[50,70)","[50,70)",0.0685560517933238
"[50,70)","[70,Inf)",0.00779572231316202
"[70,Inf)","[0,15)",0.00891753240879555
"[70,Inf)","[15,25)",0.00141623124663147
"[70,Inf)","[25,50)",0.00434952755119599
"[70,Inf)","[50,70)",0.0140208694512319
"[70,Inf)","[70,Inf)",0.00465243691259627
