"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0175128080604991
"[0,15)","[15,25)",0.0381517370182655
"[0,15)","[25,50)",0.200964153676494
"[0,15)","[50,70)",0.0726384656608757
"[0,15)","[70,Inf)",0.00382018343369684
"[15,25)","[0,15)",0.0562245152296982
"[15,25)","[15,25)",0.41801181093813
"[15,25)","[25,50)",1.11966234238032
"[15,25)","[50,70)",0.390240390697882
"[15,25)","[70,Inf)",0.0403486628215312
"[25,50)","[0,15)",0.105226418574712
"[25,50)","[15,25)",0.397815645068773
"[25,50)","[25,50)",2.94106522674671
"[25,50)","[50,70)",1.00125811363541
"[25,50)","[70,Inf)",0.141149416818594
"[50,70)","[0,15)",0.0477342126799155
"[50,70)","[15,25)",0.174013890061684
"[50,70)","[25,50)",1.25661708284559
"[50,70)","[50,70)",0.730553713059261
"[50,70)","[70,Inf)",0.111102598197313
"[70,Inf)","[0,15)",0.00451521095551231
"[70,Inf)","[15,25)",0.0323602279089844
"[70,Inf)","[25,50)",0.318615372876382
"[70,Inf)","[50,70)",0.19982735616215
"[70,Inf)","[70,Inf)",0.0170033285853663
