"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.5415403492613
"[0,15)","[15,25)",0.84385425740832
"[0,15)","[25,50)",1.14599142483415
"[0,15)","[50,70)",0.189269336268079
"[0,15)","[70,Inf)",0.027721428047292
"[15,25)","[0,15)",1.77922436894593
"[15,25)","[15,25)",5.47131580114637
"[15,25)","[25,50)",1.70718816031158
"[15,25)","[50,70)",0.238014453209727
"[15,25)","[70,Inf)",0.0248912990979026
"[25,50)","[0,15)",1.72012863266351
"[25,50)","[15,25)",1.21533967258196
"[25,50)","[25,50)",2.53633669921503
"[25,50)","[50,70)",0.450310417048544
"[25,50)","[70,Inf)",0.0414159184020725
"[50,70)","[0,15)",0.920781704644309
"[50,70)","[15,25)",0.549182234789756
"[50,70)","[25,50)",1.45951599535664
"[50,70)","[50,70)",0.614674438454144
"[50,70)","[70,Inf)",0.0897217061424905
"[70,Inf)","[0,15)",0.563453939247815
"[70,Inf)","[15,25)",0.239953512522768
"[70,Inf)","[25,50)",0.56082912568343
"[70,Inf)","[50,70)",0.374855529699727
"[70,Inf)","[70,Inf)",0.144495558932513
