"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.10548477920519
"[0,15)","[15,25)",0.621711194542799
"[0,15)","[25,50)",2.19267562925629
"[0,15)","[50,70)",0.326856648146608
"[0,15)","[70,Inf)",0.0457618183535927
"[15,25)","[0,15)",0.894540631541574
"[15,25)","[15,25)",1.42216566304603
"[15,25)","[25,50)",1.34370221591763
"[15,25)","[50,70)",0.434611605652187
"[15,25)","[70,Inf)",0.0367406465386811
"[25,50)","[0,15)",1.54474194488941
"[25,50)","[15,25)",0.657920166597655
"[25,50)","[25,50)",1.39141172991247
"[25,50)","[50,70)",0.36460205314521
"[25,50)","[70,Inf)",0.050647403162732
"[50,70)","[0,15)",0.631976741442096
"[50,70)","[15,25)",0.584028051766246
"[50,70)","[25,50)",1.0006480025665
"[50,70)","[50,70)",0.59245375900801
"[50,70)","[70,Inf)",0.0755373393750491
"[70,Inf)","[0,15)",0.335390828140788
"[70,Inf)","[15,25)",0.187147193651284
"[70,Inf)","[25,50)",0.526894350644137
"[70,Inf)","[50,70)",0.286329318924395
"[70,Inf)","[70,Inf)",0.165251580579225
