"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.027932139727893
"[0,15)","[15,25)",0.0620091852377627
"[0,15)","[25,50)",0.235466125318904
"[0,15)","[50,70)",0.0457953747847494
"[0,15)","[70,Inf)",0.00104156829708875
"[15,25)","[0,15)",0.0892210663260754
"[15,25)","[15,25)",0.670149826641677
"[15,25)","[25,50)",1.33370259392992
"[15,25)","[50,70)",0.237714890739256
"[15,25)","[70,Inf)",0.0105187495237694
"[25,50)","[0,15)",0.165886096204786
"[25,50)","[15,25)",0.653024027493223
"[25,50)","[25,50)",3.47492160966763
"[25,50)","[50,70)",0.611002617295665
"[25,50)","[70,Inf)",0.0315912705678469
"[50,70)","[0,15)",0.0885452747976662
"[50,70)","[15,25)",0.319439616219955
"[50,70)","[25,50)",1.67689277469951
"[50,70)","[50,70)",0.513640863064864
"[50,70)","[70,Inf)",0.0291131235921418
"[70,Inf)","[0,15)",0.00763371007302551
"[70,Inf)","[15,25)",0.0535797444941995
"[70,Inf)","[25,50)",0.328649860653015
"[70,Inf)","[50,70)",0.110355235157424
"[70,Inf)","[70,Inf)",0.00588124264743571
