"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.43606342954538
"[0,15)","[15,25)",0.397040278028758
"[0,15)","[25,50)",3.39913326356889
"[0,15)","[50,70)",0.30766468643403
"[0,15)","[70,Inf)",0.021244651640436
"[15,25)","[0,15)",0.592408104590985
"[15,25)","[15,25)",0.922626226860559
"[15,25)","[25,50)",1.82119373816225
"[15,25)","[50,70)",0.430169738922625
"[15,25)","[70,Inf)",0.0161668612943509
"[25,50)","[0,15)",1.13192965544496
"[25,50)","[15,25)",0.406462954833229
"[25,50)","[25,50)",2.11240930740799
"[25,50)","[50,70)",0.331697784491235
"[25,50)","[70,Inf)",0.0231587346482289
"[50,70)","[0,15)",0.443818340502943
"[50,70)","[15,25)",0.415892439088127
"[50,70)","[25,50)",1.43687476717323
"[50,70)","[50,70)",0.563794212323113
"[50,70)","[70,Inf)",0.0320478687660303
"[70,Inf)","[0,15)",0.24441679276761
"[70,Inf)","[15,25)",0.124658160514352
"[70,Inf)","[25,50)",0.800101356724711
"[70,Inf)","[50,70)",0.255595372211596
"[70,Inf)","[70,Inf)",0.0805068398397125
