"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",10.5989106653154
"[0,15)","[15,25)",1.70808638574462
"[0,15)","[25,50)",4.00408047054688
"[0,15)","[50,70)",1.13468898604584
"[0,15)","[70,Inf)",0.133323597767803
"[15,25)","[0,15)",2.20268142196515
"[15,25)","[15,25)",10.036377159862
"[15,25)","[25,50)",5.49663421403634
"[15,25)","[50,70)",1.59792568478592
"[15,25)","[70,Inf)",0.121637207549405
"[25,50)","[0,15)",2.32705123821545
"[25,50)","[15,25)",2.47718321181336
"[25,50)","[25,50)",7.55430646941077
"[25,50)","[50,70)",2.46717977165714
"[25,50)","[70,Inf)",0.217874520812034
"[50,70)","[0,15)",1.1947529648906
"[50,70)","[15,25)",1.3047160276679
"[50,70)","[25,50)",4.46991149633728
"[50,70)","[50,70)",2.97671545799405
"[50,70)","[70,Inf)",0.358973747383321
"[70,Inf)","[0,15)",0.562610400249531
"[70,Inf)","[15,25)",0.398038714681507
"[70,Inf)","[25,50)",1.58199106923809
"[70,Inf)","[50,70)",1.43867316390495
"[70,Inf)","[70,Inf)",0.554998739327209
