"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0166206200284655
"[0,15)","[15,25)",0.0316879390763095
"[0,15)","[25,50)",0.221265415787512
"[0,15)","[50,70)",0.0741736395400001
"[0,15)","[70,Inf)",0.00278833030222917
"[15,25)","[0,15)",0.0544776182166683
"[15,25)","[15,25)",0.368325595823915
"[15,25)","[25,50)",1.26203641680009
"[15,25)","[50,70)",0.411805025451269
"[15,25)","[70,Inf)",0.0309005957173724
"[25,50)","[0,15)",0.106004657342199
"[25,50)","[15,25)",0.351689318307145
"[25,50)","[25,50)",3.30168209784816
"[25,50)","[50,70)",1.04129508813326
"[25,50)","[70,Inf)",0.0986315651884944
"[50,70)","[0,15)",0.0475531021137379
"[50,70)","[15,25)",0.153566606965795
"[50,70)","[25,50)",1.39345091567596
"[50,70)","[50,70)",0.764426110272606
"[50,70)","[70,Inf)",0.0784278263338443
"[70,Inf)","[0,15)",0.00451512080826387
"[70,Inf)","[15,25)",0.0291050192699315
"[70,Inf)","[25,50)",0.333372424197788
"[70,Inf)","[50,70)",0.198091605144764
"[70,Inf)","[70,Inf)",0.0146259882935199
