"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.14838165629591
"[0,15)","[15,25)",0.871339837690394
"[0,15)","[25,50)",1.4365952845231
"[0,15)","[50,70)",0.274380090351971
"[0,15)","[70,Inf)",0.0419660270920502
"[15,25)","[0,15)",1.30158235913464
"[15,25)","[15,25)",5.28113670396566
"[15,25)","[25,50)",2.18073081222408
"[15,25)","[50,70)",0.360938598887591
"[15,25)","[70,Inf)",0.039650147718981
"[25,50)","[0,15)",1.18170678145394
"[25,50)","[15,25)",1.2008624577305
"[25,50)","[25,50)",3.144484804712
"[25,50)","[50,70)",0.663726607585753
"[25,50)","[70,Inf)",0.0626776181100318
"[50,70)","[0,15)",0.632712219928166
"[50,70)","[15,25)",0.557189434033903
"[50,70)","[25,50)",1.86066232629788
"[50,70)","[50,70)",0.908471930439347
"[50,70)","[70,Inf)",0.137853951592634
"[70,Inf)","[0,15)",0.365930231910185
"[70,Inf)","[15,25)",0.231452118638965
"[70,Inf)","[25,50)",0.664412243644618
"[70,Inf)","[50,70)",0.521273955091237
"[70,Inf)","[70,Inf)",0.198018286525323
