"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.029774055948914
"[0,15)","[15,25)",0.064289211920529
"[0,15)","[25,50)",0.219105555159023
"[0,15)","[50,70)",0.0409516009918188
"[0,15)","[70,Inf)",0.000940760762597077
"[15,25)","[0,15)",0.0960333735459956
"[15,25)","[15,25)",0.708225706190614
"[15,25)","[25,50)",1.26471860500509
"[15,25)","[50,70)",0.21471648293484
"[15,25)","[70,Inf)",0.00967895595990493
"[25,50)","[0,15)",0.180230662856171
"[25,50)","[15,25)",0.696442258636662
"[25,50)","[25,50)",3.26844386321605
"[25,50)","[50,70)",0.547067730589804
"[25,50)","[70,Inf)",0.0297477175067859
"[50,70)","[0,15)",0.0944331578137045
"[50,70)","[15,25)",0.331462902479636
"[50,70)","[25,50)",1.53362590049581
"[50,70)","[50,70)",0.455555999342189
"[50,70)","[70,Inf)",0.0274602573197657
"[70,Inf)","[0,15)",0.00820313067219946
"[70,Inf)","[15,25)",0.0564995338481631
"[70,Inf)","[25,50)",0.315339802755307
"[70,Inf)","[50,70)",0.103836827131347
"[70,Inf)","[70,Inf)",0.00523960088095768
