"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",9.96919444834513
"[0,15)","[15,25)",1.5280317334787
"[0,15)","[25,50)",4.22511300442524
"[0,15)","[50,70)",1.08120126839979
"[0,15)","[70,Inf)",0.16295527773524
"[15,25)","[0,15)",2.05646213134347
"[15,25)","[15,25)",9.22426283354116
"[15,25)","[25,50)",5.66381242297011
"[15,25)","[50,70)",1.49412290145736
"[15,25)","[70,Inf)",0.153245342934829
"[25,50)","[0,15)",2.28883363507315
"[25,50)","[15,25)",2.27979825326768
"[25,50)","[25,50)",7.87351308423816
"[25,50)","[50,70)",2.34078860539115
"[25,50)","[70,Inf)",0.266365860291311
"[50,70)","[0,15)",1.14100017913247
"[50,70)","[15,25)",1.17159401800405
"[50,70)","[25,50)",4.56000651234214
"[50,70)","[50,70)",2.80505217376722
"[50,70)","[70,Inf)",0.456053053276443
"[70,Inf)","[0,15)",0.522919901284074
"[70,Inf)","[15,25)",0.365397592873568
"[70,Inf)","[25,50)",1.57786340220119
"[70,Inf)","[50,70)",1.38676522088178
"[70,Inf)","[70,Inf)",0.645585211869728
