"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.99868470863455
"[0,15)","[15,25)",0.689527737653433
"[0,15)","[25,50)",1.5440428385731
"[0,15)","[50,70)",0.419910609861978
"[0,15)","[70,Inf)",0.0812883044471198
"[15,25)","[0,15)",0.927983136689867
"[15,25)","[15,25)",4.11445993433196
"[15,25)","[25,50)",2.27358328787408
"[15,25)","[50,70)",0.538854089090386
"[15,25)","[70,Inf)",0.0766075234899008
"[25,50)","[0,15)",0.836440866603679
"[25,50)","[15,25)",0.915162936422916
"[25,50)","[25,50)",3.22174757658909
"[25,50)","[50,70)",1.00639890233212
"[25,50)","[70,Inf)",0.126032288461278
"[50,70)","[0,15)",0.443134960229238
"[50,70)","[15,25)",0.422534335521884
"[50,70)","[25,50)",1.96052968562771
"[50,70)","[50,70)",1.40444226694859
"[50,70)","[70,Inf)",0.273154748646782
"[70,Inf)","[0,15)",0.260852380651955
"[70,Inf)","[15,25)",0.182662677658787
"[70,Inf)","[25,50)",0.746573660908455
"[70,Inf)","[50,70)",0.830608418517582
"[70,Inf)","[70,Inf)",0.388949315627772
