"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0230652676846053
"[0,15)","[15,25)",0.0516244978748477
"[0,15)","[25,50)",0.255712159719895
"[0,15)","[50,70)",0.0598314429317101
"[0,15)","[70,Inf)",0.000994578582412274
"[15,25)","[0,15)",0.0744111920708933
"[15,25)","[15,25)",0.568657096981764
"[15,25)","[25,50)",1.43909796383631
"[15,25)","[50,70)",0.316030785511988
"[15,25)","[70,Inf)",0.00999216815672554
"[25,50)","[0,15)",0.139166931376133
"[25,50)","[15,25)",0.543366185527409
"[25,50)","[25,50)",3.76144043866496
"[25,50)","[50,70)",0.813339425895531
"[25,50)","[70,Inf)",0.0284058367020993
"[50,70)","[0,15)",0.0728113517234738
"[50,70)","[15,25)",0.266818897998164
"[50,70)","[25,50)",1.81868201023238
"[50,70)","[50,70)",0.666926430152897
"[50,70)","[70,Inf)",0.0252716110730572
"[70,Inf)","[0,15)",0.00672073071347408
"[70,Inf)","[15,25)",0.0468440789529217
"[70,Inf)","[25,50)",0.352695815280236
"[70,Inf)","[50,70)",0.140326826546229
"[70,Inf)","[70,Inf)",0.00681831910524012
