"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.12080827545406
"[0,15)","[15,25)",0.362780008088564
"[0,15)","[25,50)",0.483126922860983
"[0,15)","[50,70)",0.0928630888841017
"[0,15)","[70,Inf)",0.000938428941132553
"[15,25)","[0,15)",0.709378113708354
"[15,25)","[15,25)",4.55530282594552
"[15,25)","[25,50)",0.44153026183133
"[15,25)","[50,70)",0.0726619721572102
"[15,25)","[70,Inf)",0.000278319919066881
"[25,50)","[0,15)",0.826683267407342
"[25,50)","[15,25)",0.384063784726692
"[25,50)","[25,50)",0.258170087544245
"[25,50)","[50,70)",0.024510837336266
"[25,50)","[70,Inf)",0.000271037316396711
"[50,70)","[0,15)",0.51666683920491
"[50,70)","[15,25)",0.205545322365988
"[50,70)","[25,50)",0.0796964142288285
"[50,70)","[50,70)",0.0242637927844391
"[50,70)","[70,Inf)",0.00102077646707004
"[70,Inf)","[0,15)",0.0234955759059625
"[70,Inf)","[15,25)",0.00354292488539644
"[70,Inf)","[25,50)",0.00396584633651379
"[70,Inf)","[50,70)",0.00459217340527778
"[70,Inf)","[70,Inf)",0.00115687326829764
