"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0424817899065251
"[0,15)","[15,25)",0.067482316317703
"[0,15)","[25,50)",0.153438377579317
"[0,15)","[50,70)",0.0246001281879818
"[0,15)","[70,Inf)",0.000510554755138069
"[15,25)","[0,15)",0.132726312146695
"[15,25)","[15,25)",0.740362296633808
"[15,25)","[25,50)",0.866059531790869
"[15,25)","[50,70)",0.123979243235095
"[15,25)","[70,Inf)",0.00492384596680624
"[25,50)","[0,15)",0.262549929057565
"[25,50)","[15,25)",0.753457234391377
"[25,50)","[25,50)",2.33568655413913
"[25,50)","[50,70)",0.328123983442786
"[25,50)","[70,Inf)",0.0136528404482777
"[50,70)","[0,15)",0.136868917754642
"[50,70)","[15,25)",0.350711008260462
"[50,70)","[25,50)",1.0669093737028
"[50,70)","[50,70)",0.274145211053276
"[50,70)","[70,Inf)",0.0122964071167583
"[70,Inf)","[0,15)",0.0127828304069772
"[70,Inf)","[15,25)",0.0626790079062385
"[70,Inf)","[25,50)",0.199769788140806
"[70,Inf)","[50,70)",0.0553344340190062
"[70,Inf)","[70,Inf)",0.00383642012789099
