"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.08458384894477
"[0,15)","[15,25)",0.448072944121669
"[0,15)","[25,50)",1.37618517484949
"[0,15)","[50,70)",0.569495635473171
"[0,15)","[70,Inf)",0.169602659733049
"[15,25)","[0,15)",0.638541521301826
"[15,25)","[15,25)",2.78953459660432
"[15,25)","[25,50)",1.98671799597117
"[15,25)","[50,70)",0.708992336168313
"[15,25)","[70,Inf)",0.166749777905533
"[25,50)","[0,15)",0.607586595087627
"[25,50)","[15,25)",0.615498661051085
"[25,50)","[25,50)",2.77674867066313
"[25,50)","[50,70)",1.3389474957106
"[25,50)","[70,Inf)",0.264480958089542
"[50,70)","[0,15)",0.32214135273194
"[50,70)","[15,25)",0.281421450331035
"[50,70)","[25,50)",1.71549049721633
"[50,70)","[50,70)",1.90402468788125
"[50,70)","[70,Inf)",0.591940147063523
"[70,Inf)","[0,15)",0.177624013670361
"[70,Inf)","[15,25)",0.122544510970977
"[70,Inf)","[25,50)",0.627382097099314
"[70,Inf)","[50,70)",1.09594999443748
"[70,Inf)","[70,Inf)",0.752996742552523
