"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",19.6039831286031
"[0,15)","[15,25)",1.79215878987454
"[0,15)","[25,50)",2.8292206229215
"[0,15)","[50,70)",0.437406481364995
"[0,15)","[70,Inf)",0.0499033352885186
"[15,25)","[0,15)",4.23819897315774
"[15,25)","[15,25)",12.3972757546621
"[15,25)","[25,50)",3.76098672864871
"[15,25)","[50,70)",0.607177013050954
"[15,25)","[70,Inf)",0.044759786323623
"[25,50)","[0,15)",5.06496570360342
"[25,50)","[15,25)",2.84712568642452
"[25,50)","[25,50)",5.48600235392381
"[25,50)","[50,70)",0.964416400024787
"[25,50)","[70,Inf)",0.0771250665634772
"[50,70)","[0,15)",2.5505296673528
"[50,70)","[15,25)",1.4971166199135
"[50,70)","[25,50)",3.14123233040807
"[50,70)","[50,70)",1.14429678726039
"[50,70)","[70,Inf)",0.133258214819999
"[70,Inf)","[0,15)",1.21517888758181
"[70,Inf)","[15,25)",0.460886293014565
"[70,Inf)","[25,50)",1.04905075548843
"[70,Inf)","[50,70)",0.556492695679648
"[70,Inf)","[70,Inf)",0.222807203265308
