"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",5.92812127666155
"[0,15)","[15,25)",0.808481313046572
"[0,15)","[25,50)",1.05417965602057
"[0,15)","[50,70)",0.173119118006571
"[0,15)","[70,Inf)",0.0254522493139864
"[15,25)","[0,15)",1.91194256342155
"[15,25)","[15,25)",5.36526235025429
"[15,25)","[25,50)",1.55401644036615
"[15,25)","[50,70)",0.214160205413808
"[15,25)","[70,Inf)",0.0226823444211872
"[25,50)","[0,15)",1.88722779691429
"[25,50)","[15,25)",1.17641471340212
"[25,50)","[25,50)",2.32818555309049
"[25,50)","[50,70)",0.409543299239224
"[25,50)","[70,Inf)",0.0380421354065918
"[50,70)","[0,15)",1.00946251432717
"[50,70)","[15,25)",0.528054909783275
"[50,70)","[25,50)",1.3339369303956
"[50,70)","[50,70)",0.559435546806541
"[50,70)","[70,Inf)",0.082441103284853
"[70,Inf)","[0,15)",0.619778935195557
"[70,Inf)","[15,25)",0.233557451806763
"[70,Inf)","[25,50)",0.517446955534645
"[70,Inf)","[50,70)",0.344278000900451
"[70,Inf)","[70,Inf)",0.13404883775057
