"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",10.7253027113541
"[0,15)","[15,25)",1.67300182475557
"[0,15)","[25,50)",4.05494709073917
"[0,15)","[50,70)",1.01281797170567
"[0,15)","[70,Inf)",0.153483173691555
"[15,25)","[0,15)",2.21650854868542
"[15,25)","[15,25)",10.053587522782
"[15,25)","[25,50)",5.50958608048875
"[15,25)","[50,70)",1.39854431119484
"[15,25)","[70,Inf)",0.144592270223755
"[25,50)","[0,15)",2.43421735022607
"[25,50)","[15,25)",2.49643428574997
"[25,50)","[25,50)",7.67475648180996
"[25,50)","[50,70)",2.19804123710915
"[25,50)","[70,Inf)",0.246848277026234
"[50,70)","[0,15)",1.22229884706843
"[50,70)","[15,25)",1.27394077466378
"[50,70)","[25,50)",4.41883390189164
"[50,70)","[50,70)",2.62986843677769
"[50,70)","[70,Inf)",0.430480194289501
"[70,Inf)","[0,15)",0.559300151132897
"[70,Inf)","[15,25)",0.397700600194809
"[70,Inf)","[25,50)",1.49844257589133
"[70,Inf)","[50,70)",1.29984431093304
"[70,Inf)","[70,Inf)",0.606234259830972
