"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0214521187512882
"[0,15)","[15,25)",0.0505271053722308
"[0,15)","[25,50)",0.232962246264085
"[0,15)","[50,70)",0.0604709096576889
"[0,15)","[70,Inf)",0.00199293338702951
"[15,25)","[0,15)",0.0697607254241714
"[15,25)","[15,25)",0.558787517051295
"[15,25)","[25,50)",1.34178485796363
"[15,25)","[50,70)",0.326168035883878
"[15,25)","[70,Inf)",0.0207900439482518
"[25,50)","[0,15)",0.12900160687084
"[25,50)","[15,25)",0.538153156704505
"[25,50)","[25,50)",3.43886164300448
"[25,50)","[50,70)",0.818173142191508
"[25,50)","[70,Inf)",0.0642186261777165
"[50,70)","[0,15)",0.0621507234933607
"[50,70)","[15,25)",0.242803261429843
"[50,70)","[25,50)",1.51857180132068
"[50,70)","[50,70)",0.633967996621579
"[50,70)","[70,Inf)",0.0546421078752339
"[70,Inf)","[0,15)",0.00584722137188352
"[70,Inf)","[15,25)",0.0441799877954538
"[70,Inf)","[25,50)",0.340257877929448
"[70,Inf)","[50,70)",0.155985601106219
"[70,Inf)","[70,Inf)",0.0109183378494349
