"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0174318229046331
"[0,15)","[15,25)",0.0470990593562822
"[0,15)","[25,50)",0.235314801189642
"[0,15)","[50,70)",0.0652904773266472
"[0,15)","[70,Inf)",0.00290229971977996
"[15,25)","[0,15)",0.0573071217480418
"[15,25)","[15,25)",0.521114108855533
"[15,25)","[25,50)",1.3705484100165
"[15,25)","[50,70)",0.358463745423754
"[15,25)","[70,Inf)",0.0307682552467175
"[25,50)","[0,15)",0.103448047433269
"[25,50)","[15,25)",0.495189092715255
"[25,50)","[25,50)",3.448885989435
"[25,50)","[50,70)",0.884019796361317
"[25,50)","[70,Inf)",0.0923829583742752
"[50,70)","[0,15)",0.0482333951172455
"[50,70)","[15,25)",0.217644082850072
"[50,70)","[25,50)",1.48554881306307
"[50,70)","[50,70)",0.663032862294281
"[50,70)","[70,Inf)",0.076077824855586
"[70,Inf)","[0,15)",0.00467048736176273
"[70,Inf)","[15,25)",0.040693631511802
"[70,Inf)","[25,50)",0.33817286274501
"[70,Inf)","[50,70)",0.16572195175132
"[70,Inf)","[70,Inf)",0.0151453515129535
