"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",13.3404278067672
"[0,15)","[15,25)",1.73992544666292
"[0,15)","[25,50)",4.17297458913441
"[0,15)","[50,70)",0.717313157662383
"[0,15)","[70,Inf)",0.0806414432009727
"[15,25)","[0,15)",2.78188594592506
"[15,25)","[15,25)",10.9979168214804
"[15,25)","[25,50)",5.55648759367533
"[15,25)","[50,70)",1.02488932673909
"[15,25)","[70,Inf)",0.0725122836109849
"[25,50)","[0,15)",3.21851346887104
"[25,50)","[15,25)",2.68041018261853
"[25,50)","[25,50)",7.87069070089382
"[25,50)","[50,70)",1.57224299363295
"[25,50)","[70,Inf)",0.127368993313312
"[50,70)","[0,15)",1.62437609124268
"[50,70)","[15,25)",1.4515970640688
"[50,70)","[25,50)",4.61623456694561
"[50,70)","[50,70)",1.87651355582422
"[50,70)","[70,Inf)",0.213122730471845
"[70,Inf)","[0,15)",0.774053223620896
"[70,Inf)","[15,25)",0.435326829547489
"[70,Inf)","[25,50)",1.58513646822539
"[70,Inf)","[50,70)",0.903367604328223
"[70,Inf)","[70,Inf)",0.351455413005147
