"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.76462437278361
"[0,15)","[15,25)",0.31779504748287
"[0,15)","[25,50)",0.737206289406876
"[0,15)","[50,70)",0.154112544642378
"[0,15)","[70,Inf)",0.0016282611002802
"[15,25)","[0,15)",0.507628586904651
"[15,25)","[15,25)",3.93165635617089
"[15,25)","[25,50)",0.62767096773945
"[15,25)","[50,70)",0.11535587699011
"[15,25)","[70,Inf)",0.00044710643923361
"[25,50)","[0,15)",0.56858922121657
"[25,50)","[15,25)",0.302781686679689
"[25,50)","[25,50)",0.331431373854204
"[25,50)","[50,70)",0.0407985190612756
"[25,50)","[70,Inf)",0.000489163158817941
"[50,70)","[0,15)",0.348992250042449
"[50,70)","[15,25)",0.163383741047148
"[50,70)","[25,50)",0.119785788832303
"[50,70)","[50,70)",0.0391503965806764
"[50,70)","[70,Inf)",0.00174515548646022
"[70,Inf)","[0,15)",0.0156291939174173
"[70,Inf)","[15,25)",0.00268419940690365
"[70,Inf)","[25,50)",0.00608774821708202
"[70,Inf)","[50,70)",0.00739609270150956
"[70,Inf)","[70,Inf)",0.00175819417852773
