"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",7.83804078953275
"[0,15)","[15,25)",1.23562076820242
"[0,15)","[25,50)",3.39874026562924
"[0,15)","[50,70)",1.38025893999308
"[0,15)","[70,Inf)",0.363749060514992
"[15,25)","[0,15)",1.61461743983983
"[15,25)","[15,25)",7.39888828594397
"[15,25)","[25,50)",4.67578487451943
"[15,25)","[50,70)",1.81989575427987
"[15,25)","[70,Inf)",0.350118022494554
"[25,50)","[0,15)",1.75774808687928
"[25,50)","[15,25)",1.8505837279618
"[25,50)","[25,50)",6.3617009000356
"[25,50)","[50,70)",2.9429697747951
"[25,50)","[70,Inf)",0.608421139549964
"[50,70)","[0,15)",0.870167190762899
"[50,70)","[15,25)",0.878019593695639
"[50,70)","[25,50)",3.58747827887967
"[50,70)","[50,70)",3.54792013858606
"[50,70)","[70,Inf)",1.05166656339272
"[70,Inf)","[0,15)",0.397360039940619
"[70,Inf)","[15,25)",0.292693000905151
"[70,Inf)","[25,50)",1.28513262314869
"[70,Inf)","[50,70)",1.82229314264788
"[70,Inf)","[70,Inf)",1.41060561336246
