"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.35747649743708
"[0,15)","[15,25)",0.557524402715423
"[0,15)","[25,50)",1.23918983603543
"[0,15)","[50,70)",0.544221846966987
"[0,15)","[70,Inf)",0.181435227048596
"[15,25)","[0,15)",0.728531477396741
"[15,25)","[15,25)",3.30578200671037
"[15,25)","[25,50)",1.86310186666783
"[15,25)","[50,70)",0.668868642582302
"[15,25)","[70,Inf)",0.174251369152676
"[25,50)","[0,15)",0.640879676978864
"[25,50)","[15,25)",0.737379090466622
"[25,50)","[25,50)",2.58549937496658
"[25,50)","[50,70)",1.28271853003768
"[25,50)","[70,Inf)",0.284003549129112
"[50,70)","[0,15)",0.343097937644536
"[50,70)","[15,25)",0.322699677942956
"[50,70)","[25,50)",1.56363307018572
"[50,70)","[50,70)",1.83821504327422
"[50,70)","[70,Inf)",0.634203137963801
"[70,Inf)","[0,15)",0.198200124461061
"[70,Inf)","[15,25)",0.145671324731423
"[70,Inf)","[25,50)",0.599884195913712
"[70,Inf)","[50,70)",1.09892628479968
"[70,Inf)","[70,Inf)",0.846820442182556
