"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.14855933279954
"[0,15)","[15,25)",0.584562149543723
"[0,15)","[25,50)",2.00494038573543
"[0,15)","[50,70)",0.372945044562279
"[0,15)","[70,Inf)",0.0620534242557474
"[15,25)","[0,15)",0.913004346317724
"[15,25)","[15,25)",1.34482290498407
"[15,25)","[25,50)",1.23930513059383
"[15,25)","[50,70)",0.464239888909768
"[15,25)","[70,Inf)",0.0503263340857384
"[25,50)","[0,15)",1.5799395829035
"[25,50)","[15,25)",0.625280823679436
"[25,50)","[25,50)",1.27389057693643
"[25,50)","[50,70)",0.416966941539173
"[25,50)","[70,Inf)",0.0694084203975678
"[50,70)","[0,15)",0.645818419614382
"[50,70)","[15,25)",0.514713888053456
"[50,70)","[25,50)",0.916279974101639
"[50,70)","[50,70)",0.663808158925998
"[50,70)","[70,Inf)",0.106205714568894
"[70,Inf)","[0,15)",0.333128004446154
"[70,Inf)","[15,25)",0.172981052000466
"[70,Inf)","[25,50)",0.472844711791087
"[70,Inf)","[50,70)",0.32925144528874
"[70,Inf)","[70,Inf)",0.217189801130004
