"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0273060019025666
"[0,15)","[15,25)",0.0422634738917758
"[0,15)","[25,50)",0.220282602528201
"[0,15)","[50,70)",0.0436367438526778
"[0,15)","[70,Inf)",0.00115981547766424
"[15,25)","[0,15)",0.0900299685782524
"[15,25)","[15,25)",0.510880818447249
"[15,25)","[25,50)",1.27200398324512
"[15,25)","[50,70)",0.237826182008728
"[15,25)","[70,Inf)",0.0129022381341715
"[25,50)","[0,15)",0.184235661987957
"[25,50)","[15,25)",0.499413254702364
"[25,50)","[25,50)",3.37067917197785
"[25,50)","[50,70)",0.613851892030339
"[25,50)","[70,Inf)",0.0388763208858342
"[50,70)","[0,15)",0.0915043481023511
"[50,70)","[15,25)",0.234113874169498
"[50,70)","[25,50)",1.53907397108315
"[50,70)","[50,70)",0.489445769697004
"[50,70)","[70,Inf)",0.0340510640243646
"[70,Inf)","[0,15)",0.00794517837931769
"[70,Inf)","[15,25)",0.0414913817771526
"[70,Inf)","[25,50)",0.318424451801674
"[70,Inf)","[50,70)",0.111238735720335
"[70,Inf)","[70,Inf)",0.00740523779597823
