"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",2.14677907112993
"[0,15)","[15,25)",0.583697594643782
"[0,15)","[25,50)",2.02952913211382
"[0,15)","[50,70)",0.362644996804315
"[0,15)","[70,Inf)",0.062972322562449
"[15,25)","[0,15)",0.91247967141096
"[15,25)","[15,25)",1.34585694297626
"[15,25)","[25,50)",1.24867622236987
"[15,25)","[50,70)",0.451614597883881
"[15,25)","[70,Inf)",0.0510151403667725
"[25,50)","[0,15)",1.58748762368437
"[25,50)","[15,25)",0.624783578380804
"[25,50)","[25,50)",1.28708072764575
"[25,50)","[50,70)",0.404314537675595
"[25,50)","[70,Inf)",0.0703542260396906
"[50,70)","[0,15)",0.647989892133981
"[50,70)","[15,25)",0.516201448184062
"[50,70)","[25,50)",0.923614707714343
"[50,70)","[50,70)",0.642188027647084
"[50,70)","[70,Inf)",0.107318975754783
"[70,Inf)","[0,15)",0.336452506229273
"[70,Inf)","[15,25)",0.174356381796565
"[70,Inf)","[25,50)",0.480561735746046
"[70,Inf)","[50,70)",0.320895800915013
"[70,Inf)","[70,Inf)",0.223015353916905
