"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.4869446191802
"[0,15)","[15,25)",0.700582223359908
"[0,15)","[25,50)",1.38286893519314
"[0,15)","[50,70)",0.28235844573369
"[0,15)","[70,Inf)",0.0449058580430231
"[15,25)","[0,15)",1.40596843586251
"[15,25)","[15,25)",4.57386026494458
"[15,25)","[25,50)",1.99797824070195
"[15,25)","[50,70)",0.352387366306217
"[15,25)","[70,Inf)",0.0405753184916555
"[25,50)","[0,15)",1.40445800725601
"[25,50)","[15,25)",1.01111844836741
"[25,50)","[25,50)",2.91208119884786
"[25,50)","[50,70)",0.666865261484351
"[25,50)","[70,Inf)",0.0687420952424323
"[50,70)","[0,15)",0.742627024621919
"[50,70)","[15,25)",0.461821171962206
"[50,70)","[25,50)",1.72695222652919
"[50,70)","[50,70)",0.920342912656737
"[50,70)","[70,Inf)",0.147257727715699
"[70,Inf)","[0,15)",0.454418250184696
"[70,Inf)","[15,25)",0.204596521570951
"[70,Inf)","[25,50)",0.684932530583443
"[70,Inf)","[50,70)",0.566579548340024
"[70,Inf)","[70,Inf)",0.231646883444604
