"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0312170420823742
"[0,15)","[15,25)",0.0506585276597382
"[0,15)","[25,50)",0.201622851585278
"[0,15)","[50,70)",0.0387795250760397
"[0,15)","[70,Inf)",0.000933051933625029
"[15,25)","[0,15)",0.101664427845852
"[15,25)","[15,25)",0.595588076873995
"[15,25)","[25,50)",1.16139635767629
"[15,25)","[50,70)",0.207518685713267
"[15,25)","[70,Inf)",0.0098298687962176
"[25,50)","[0,15)",0.204770547047674
"[25,50)","[15,25)",0.587748784841941
"[25,50)","[25,50)",3.07580341581445
"[25,50)","[50,70)",0.536736089475896
"[25,50)","[70,Inf)",0.0279193017814134
"[50,70)","[0,15)",0.101993490042909
"[50,70)","[15,25)",0.271963560001405
"[50,70)","[25,50)",1.3899623181987
"[50,70)","[50,70)",0.430161513535394
"[50,70)","[70,Inf)",0.0244769247156825
"[70,Inf)","[0,15)",0.00944188231751666
"[70,Inf)","[15,25)",0.0495660179135392
"[70,Inf)","[25,50)",0.278182356150564
"[70,Inf)","[50,70)",0.094175872229527
"[70,Inf)","[70,Inf)",0.00684317306467575
