"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.12469622330618
"[0,15)","[15,25)",0.332108594077624
"[0,15)","[25,50)",1.96745558398888
"[0,15)","[50,70)",0.631808010109963
"[0,15)","[70,Inf)",0.174826629248084
"[15,25)","[0,15)",0.475441409495554
"[15,25)","[15,25)",0.753451079523231
"[15,25)","[25,50)",1.35002903598303
"[15,25)","[50,70)",0.767005656033295
"[15,25)","[70,Inf)",0.146198888434932
"[25,50)","[0,15)",0.811194958774354
"[25,50)","[15,25)",0.388818145801807
"[25,50)","[25,50)",1.20954511512277
"[25,50)","[50,70)",0.66319493066646
"[25,50)","[70,Inf)",0.22249934349526
"[50,70)","[0,15)",0.327777374575558
"[50,70)","[15,25)",0.277955659090586
"[50,70)","[25,50)",0.834477701796352
"[50,70)","[50,70)",1.1260345489907
"[50,70)","[70,Inf)",0.326636365437665
"[70,Inf)","[0,15)",0.161186136204512
"[70,Inf)","[15,25)",0.0941558440084808
"[70,Inf)","[25,50)",0.497540603202049
"[70,Inf)","[50,70)",0.580484717466405
"[70,Inf)","[70,Inf)",0.587361228180287
