"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.51994322841336
"[0,15)","[15,25)",0.220838425980718
"[0,15)","[25,50)",0.690770078046438
"[0,15)","[50,70)",0.259015461391597
"[0,15)","[70,Inf)",0.00777992691670176
"[15,25)","[0,15)",0.35456913888408
"[15,25)","[15,25)",3.21039962897879
"[15,25)","[25,50)",0.558403882677128
"[15,25)","[50,70)",0.185362757600659
"[15,25)","[70,Inf)",0.00188418536947203
"[25,50)","[0,15)",0.328496920678769
"[25,50)","[15,25)",0.164132572693837
"[25,50)","[25,50)",0.263340656018452
"[25,50)","[50,70)",0.0711265773059202
"[25,50)","[70,Inf)",0.0020273830351244
"[50,70)","[0,15)",0.165824610856465
"[50,70)","[15,25)",0.0733398608367212
"[50,70)","[25,50)",0.0957537721591434
"[50,70)","[50,70)",0.0665408511196747
"[50,70)","[70,Inf)",0.00828492981405452
"[70,Inf)","[0,15)",0.00831772257651482
"[70,Inf)","[15,25)",0.0012449354768609
"[70,Inf)","[25,50)",0.00455792249592446
"[70,Inf)","[50,70)",0.0138350559908564
"[70,Inf)","[70,Inf)",0.00481803156906968
