"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.62762750768611
"[0,15)","[15,25)",0.253756401092512
"[0,15)","[25,50)",0.621531152205246
"[0,15)","[50,70)",0.265685147034245
"[0,15)","[70,Inf)",0.0082692984677412
"[15,25)","[0,15)",0.37899244221975
"[15,25)","[15,25)",3.42037391083078
"[15,25)","[25,50)",0.512853880962464
"[15,25)","[50,70)",0.190567493662304
"[15,25)","[70,Inf)",0.00189682231697647
"[25,50)","[0,15)",0.355945194615435
"[25,50)","[15,25)",0.196365690430583
"[25,50)","[25,50)",0.236846636204859
"[25,50)","[50,70)",0.0716096072640223
"[25,50)","[70,Inf)",0.00205897779524486
"[50,70)","[0,15)",0.183543514475406
"[50,70)","[15,25)",0.0880184223813331
"[50,70)","[25,50)",0.0863820385268259
"[50,70)","[50,70)",0.0671154288730696
"[50,70)","[70,Inf)",0.00832755514772223
"[70,Inf)","[0,15)",0.00945676915532156
"[70,Inf)","[15,25)",0.00145028635803799
"[70,Inf)","[25,50)",0.00411154975719217
"[70,Inf)","[50,70)",0.0137850969165725
"[70,Inf)","[70,Inf)",0.00491009264552577
