"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.74841936329555
"[0,15)","[15,25)",0.275992433408159
"[0,15)","[25,50)",0.654271769727808
"[0,15)","[50,70)",0.112508440577735
"[0,15)","[70,Inf)",0.00115417822802433
"[15,25)","[0,15)",0.591588853973944
"[15,25)","[15,25)",3.95248055099721
"[15,25)","[25,50)",0.573140496003093
"[15,25)","[50,70)",0.0895669616005899
"[15,25)","[70,Inf)",0.000345158540808233
"[25,50)","[0,15)",0.712608037530804
"[25,50)","[15,25)",0.288741497518786
"[25,50)","[25,50)",0.309333195447583
"[25,50)","[50,70)",0.0307779668572144
"[25,50)","[70,Inf)",0.000359089159711581
"[50,70)","[0,15)",0.443300908606042
"[50,70)","[15,25)",0.163236170416486
"[50,70)","[25,50)",0.111339607791803
"[50,70)","[50,70)",0.0302210189762451
"[50,70)","[70,Inf)",0.00131128431368121
"[70,Inf)","[0,15)",0.0186973878331832
"[70,Inf)","[15,25)",0.00258631681029845
"[70,Inf)","[25,50)",0.00534094147444776
"[70,Inf)","[50,70)",0.00539029790735801
"[70,Inf)","[70,Inf)",0.0013256359262933
