"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0330044880508953
"[0,15)","[15,25)",0.0501854221213142
"[0,15)","[25,50)",0.204678631253044
"[0,15)","[50,70)",0.0300528533969088
"[0,15)","[70,Inf)",0.000617958681618227
"[15,25)","[0,15)",0.108498202188995
"[15,25)","[15,25)",0.604197874573313
"[15,25)","[25,50)",1.19067979226341
"[15,25)","[50,70)",0.160382207298765
"[15,25)","[70,Inf)",0.00668914237409138
"[25,50)","[0,15)",0.222928214986874
"[25,50)","[15,25)",0.599849853342517
"[25,50)","[25,50)",3.16312383268957
"[25,50)","[50,70)",0.416726134945602
"[25,50)","[70,Inf)",0.0185536925346408
"[50,70)","[0,15)",0.11841295771804
"[50,70)","[15,25)",0.292297258437099
"[50,70)","[25,50)",1.50754998173105
"[50,70)","[50,70)",0.352070467292059
"[50,70)","[70,Inf)",0.0169213284029558
"[70,Inf)","[0,15)",0.0100107703078722
"[70,Inf)","[15,25)",0.0501225938899889
"[70,Inf)","[25,50)",0.275959836944136
"[70,Inf)","[50,70)",0.0695711202914807
"[70,Inf)","[70,Inf)",0.0045315950171298
