"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0402754126879111
"[0,15)","[15,25)",0.0638121599174716
"[0,15)","[25,50)",0.158170982182823
"[0,15)","[50,70)",0.0237742553985839
"[0,15)","[70,Inf)",0.000512008958814338
"[15,25)","[0,15)",0.128910363770116
"[15,25)","[15,25)",0.728413669467888
"[15,25)","[25,50)",0.920575031018506
"[15,25)","[50,70)",0.123517042885761
"[15,25)","[70,Inf)",0.00511350409274804
"[25,50)","[0,15)",0.257503633305538
"[25,50)","[15,25)",0.741876051693185
"[25,50)","[25,50)",2.44621331381205
"[25,50)","[50,70)",0.320256474665337
"[25,50)","[70,Inf)",0.0137567992529114
"[50,70)","[0,15)",0.130662838679468
"[50,70)","[15,25)",0.336037435652674
"[50,70)","[25,50)",1.08115144764277
"[50,70)","[50,70)",0.263277918790613
"[50,70)","[70,Inf)",0.0122084646149675
"[70,Inf)","[0,15)",0.0125393104461745
"[70,Inf)","[15,25)",0.061991238563661
"[70,Inf)","[25,50)",0.206945956292868
"[70,Inf)","[50,70)",0.0544016382453869
"[70,Inf)","[70,Inf)",0.00412597840698839
