"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",18.8899080066537
"[0,15)","[15,25)",1.86032016932923
"[0,15)","[25,50)",3.0201280685887
"[0,15)","[50,70)",0.410949035953048
"[0,15)","[70,Inf)",0.0422752084129372
"[15,25)","[0,15)",4.04153398666163
"[15,25)","[15,25)",12.7260454667534
"[15,25)","[25,50)",4.05915726196972
"[15,25)","[50,70)",0.58436245135854
"[15,25)","[70,Inf)",0.0372993676672252
"[25,50)","[0,15)",4.85455216902219
"[25,50)","[15,25)",3.00331682871508
"[25,50)","[25,50)",5.94633870779464
"[25,50)","[50,70)",0.912102016298181
"[25,50)","[70,Inf)",0.0639587471973903
"[50,70)","[0,15)",2.46691959597956
"[50,70)","[15,25)",1.61469607819566
"[50,70)","[25,50)",3.40632931161923
"[50,70)","[50,70)",1.08176108354751
"[50,70)","[70,Inf)",0.10963178857356
"[70,Inf)","[0,15)",1.19674227173774
"[70,Inf)","[15,25)",0.486024098036279
"[70,Inf)","[25,50)",1.12639576691937
"[70,Inf)","[50,70)",0.516992621446249
"[70,Inf)","[70,Inf)",0.195819040159373
