"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",3.39909800916495
"[0,15)","[15,25)",0.668993114066089
"[0,15)","[25,50)",1.59458092008537
"[0,15)","[50,70)",0.176149999226221
"[0,15)","[70,Inf)",0.0210804769128637
"[15,25)","[0,15)",1.45338337557002
"[15,25)","[15,25)",1.57058223300632
"[15,25)","[25,50)",0.930043271892191
"[15,25)","[50,70)",0.226109054001402
"[15,25)","[70,Inf)",0.0165972549574089
"[25,50)","[0,15)",2.56312847948172
"[25,50)","[15,25)",0.688126729180143
"[25,50)","[25,50)",1.05824043492092
"[25,50)","[50,70)",0.202213247336457
"[25,50)","[70,Inf)",0.0214973969413734
"[50,70)","[0,15)",1.05742524475127
"[50,70)","[15,25)",0.624779025229643
"[50,70)","[25,50)",0.755184068549084
"[50,70)","[50,70)",0.311443348661975
"[50,70)","[70,Inf)",0.0314279866928519
"[70,Inf)","[0,15)",0.596753955263653
"[70,Inf)","[15,25)",0.216268166863348
"[70,Inf)","[25,50)",0.378596798336544
"[70,Inf)","[50,70)",0.148205529057964
"[70,Inf)","[70,Inf)",0.0850291104136082
