"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0232919916640124
"[0,15)","[15,25)",0.0482004621705342
"[0,15)","[25,50)",0.221410417332342
"[0,15)","[50,70)",0.055962298098546
"[0,15)","[70,Inf)",0.00187082818424704
"[15,25)","[0,15)",0.0761223459414281
"[15,25)","[15,25)",0.54844651969507
"[15,25)","[25,50)",1.28952589651713
"[15,25)","[50,70)",0.305303523103788
"[15,25)","[70,Inf)",0.0200123924607332
"[25,50)","[0,15)",0.144627851928984
"[25,50)","[15,25)",0.533363131696606
"[25,50)","[25,50)",3.31194908916592
"[25,50)","[50,70)",0.764157213638074
"[25,50)","[70,Inf)",0.0597621936215607
"[50,70)","[0,15)",0.068210499988377
"[50,70)","[15,25)",0.235627810071464
"[50,70)","[25,50)",1.42588507831381
"[50,70)","[50,70)",0.586835157460574
"[50,70)","[70,Inf)",0.0504118899219542
"[70,Inf)","[0,15)",0.00645883302099319
"[70,Inf)","[15,25)",0.043747999928669
"[70,Inf)","[25,50)",0.315858666703754
"[70,Inf)","[50,70)",0.142789883686304
"[70,Inf)","[70,Inf)",0.0106875425142088
