"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",13.206915137038
"[0,15)","[15,25)",1.86510915063167
"[0,15)","[25,50)",3.48557801234333
"[0,15)","[50,70)",0.9326493184014
"[0,15)","[70,Inf)",0.114677877236792
"[15,25)","[0,15)",2.77095011252026
"[15,25)","[15,25)",11.5056427922265
"[15,25)","[25,50)",4.8369028553486
"[15,25)","[50,70)",1.29141917352554
"[15,25)","[70,Inf)",0.105746746250406
"[25,50)","[0,15)",3.01728888230725
"[25,50)","[15,25)",2.81828556478075
"[25,50)","[25,50)",6.70192570734331
"[25,50)","[50,70)",2.02805024333618
"[25,50)","[70,Inf)",0.185150812289494
"[50,70)","[0,15)",1.54935599836693
"[50,70)","[15,25)",1.44402800750016
"[50,70)","[25,50)",3.89196983499706
"[50,70)","[50,70)",2.43542538878561
"[50,70)","[70,Inf)",0.314429637897771
"[70,Inf)","[0,15)",0.712449632951909
"[70,Inf)","[15,25)",0.442198312625188
"[70,Inf)","[25,50)",1.32879522340868
"[70,Inf)","[50,70)",1.17588582925498
"[70,Inf)","[70,Inf)",0.462130842352099
