"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0272945989994856
"[0,15)","[15,25)",0.0600826512317326
"[0,15)","[25,50)",0.227984520433923
"[0,15)","[50,70)",0.0491629377196497
"[0,15)","[70,Inf)",0.00123818238423329
"[15,25)","[0,15)",0.0869455541365995
"[15,25)","[15,25)",0.646838563569466
"[15,25)","[25,50)",1.28698485769277
"[15,25)","[50,70)",0.256859059281791
"[15,25)","[70,Inf)",0.0121824872705318
"[25,50)","[0,15)",0.161680561652351
"[25,50)","[15,25)",0.630706917561116
"[25,50)","[25,50)",3.36120149457529
"[25,50)","[50,70)",0.658067858185911
"[25,50)","[70,Inf)",0.034572656129867
"[50,70)","[0,15)",0.0807059204725866
"[50,70)","[15,25)",0.291382969672138
"[50,70)","[25,50)",1.52330125366792
"[50,70)","[50,70)",0.523845798855597
"[50,70)","[70,Inf)",0.0301237245228573
"[70,Inf)","[0,15)",0.00781354821998213
"[70,Inf)","[15,25)",0.0531252944905966
"[70,Inf)","[25,50)",0.307640829453725
"[70,Inf)","[50,70)",0.115798990703975
"[70,Inf)","[70,Inf)",0.00816447423276039
