"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0229822717365155
"[0,15)","[15,25)",0.0423623768609046
"[0,15)","[25,50)",0.252331637824661
"[0,15)","[50,70)",0.0503012981119667
"[0,15)","[70,Inf)",0.00115978520066786
"[15,25)","[0,15)",0.0762005281828743
"[15,25)","[15,25)",0.501185885267536
"[15,25)","[25,50)",1.45406173444796
"[15,25)","[50,70)",0.274790139458525
"[15,25)","[70,Inf)",0.0125839294202125
"[25,50)","[0,15)",0.151013037374838
"[25,50)","[15,25)",0.483780010375422
"[25,50)","[25,50)",3.82300382060246
"[25,50)","[50,70)",0.701400368713324
"[25,50)","[70,Inf)",0.0357646299617909
"[50,70)","[0,15)",0.0754997564436243
"[50,70)","[15,25)",0.229292494980482
"[50,70)","[25,50)",1.75909628489044
"[50,70)","[50,70)",0.561209785844809
"[50,70)","[70,Inf)",0.031231745233816
"[70,Inf)","[0,15)",0.00680640364691397
"[70,Inf)","[15,25)",0.0410561999531684
"[70,Inf)","[25,50)",0.350712413521954
"[70,Inf)","[50,70)",0.122115286825695
"[70,Inf)","[70,Inf)",0.00794045036177204
