"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.92478469825915
"[0,15)","[15,25)",0.327239284256071
"[0,15)","[25,50)",0.613388249333893
"[0,15)","[50,70)",0.111881987360705
"[0,15)","[70,Inf)",0.00110997153782723
"[15,25)","[0,15)",0.618687702079863
"[15,25)","[15,25)",4.21475639115541
"[15,25)","[25,50)",0.541545073597172
"[15,25)","[50,70)",0.0868850256929813
"[15,25)","[70,Inf)",0.000316135440009808
"[25,50)","[0,15)",0.725965264383082
"[25,50)","[15,25)",0.337144057194588
"[25,50)","[25,50)",0.296296669463936
"[25,50)","[50,70)",0.0295892011009462
"[25,50)","[70,Inf)",0.000324866345860765
"[50,70)","[0,15)",0.460931224215903
"[50,70)","[15,25)",0.188299332834673
"[50,70)","[25,50)",0.102995345018331
"[50,70)","[50,70)",0.0291954862464763
"[50,70)","[70,Inf)",0.00119367412099792
"[70,Inf)","[0,15)",0.019999393723416
"[70,Inf)","[15,25)",0.00299644329151292
"[70,Inf)","[25,50)",0.00494571768262481
"[70,Inf)","[50,70)",0.00521924186428228
"[70,Inf)","[70,Inf)",0.001241539726747
