"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.93732092224263
"[0,15)","[15,25)",0.451810693030283
"[0,15)","[25,50)",1.23231991716455
"[0,15)","[50,70)",0.603772054081063
"[0,15)","[70,Inf)",0.207472630200388
"[15,25)","[0,15)",0.595581384301786
"[15,25)","[15,25)",2.59977114951668
"[15,25)","[25,50)",1.78824085740375
"[15,25)","[50,70)",0.752535889408782
"[15,25)","[70,Inf)",0.204666889339153
"[25,50)","[0,15)",0.502087934637734
"[25,50)","[15,25)",0.552710507760651
"[25,50)","[25,50)",2.49585052923417
"[25,50)","[50,70)",1.42903287820126
"[25,50)","[70,Inf)",0.326901965837973
"[50,70)","[0,15)",0.270567813270126
"[50,70)","[15,25)",0.255826619013518
"[50,70)","[25,50)",1.57177011659945
"[50,70)","[50,70)",2.04368751784199
"[50,70)","[70,Inf)",0.725410151351726
"[70,Inf)","[0,15)",0.148412065930546
"[70,Inf)","[15,25)",0.11106350555073
"[70,Inf)","[25,50)",0.573944122292488
"[70,Inf)","[50,70)",1.15794758848486
"[70,Inf)","[70,Inf)",0.880131594149025
