"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.70711737878729
"[0,15)","[15,25)",0.311970012149298
"[0,15)","[25,50)",0.709646767718191
"[0,15)","[50,70)",0.209159280880935
"[0,15)","[70,Inf)",0.00336177299321552
"[15,25)","[0,15)",0.438728252636815
"[15,25)","[15,25)",3.73790761778652
"[15,25)","[25,50)",0.600672913833167
"[15,25)","[50,70)",0.151329923192821
"[15,25)","[70,Inf)",0.000835955219372897
"[25,50)","[0,15)",0.462251576650767
"[25,50)","[15,25)",0.278975444830295
"[25,50)","[25,50)",0.311845735405066
"[25,50)","[50,70)",0.0553920513735271
"[25,50)","[70,Inf)",0.000895599863750918
"[50,70)","[0,15)",0.26868895651098
"[50,70)","[15,25)",0.138608727860545
"[50,70)","[25,50)",0.109240165198826
"[50,70)","[50,70)",0.0521623906738327
"[50,70)","[70,Inf)",0.0035170873109686
"[70,Inf)","[0,15)",0.0124458773743678
"[70,Inf)","[15,25)",0.00220664889309484
"[70,Inf)","[25,50)",0.00509020156838934
"[70,Inf)","[50,70)",0.0101352515433403
"[70,Inf)","[70,Inf)",0.00264646733777825
