"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",15.6347842599758
"[0,15)","[15,25)",2.0013226253202
"[0,15)","[25,50)",3.77735068759794
"[0,15)","[50,70)",0.641828191616517
"[0,15)","[70,Inf)",0.0694938571102247
"[15,25)","[0,15)",3.30152065968152
"[15,25)","[15,25)",12.2082479447718
"[15,25)","[25,50)",5.08764245824112
"[15,25)","[50,70)",0.924933571937652
"[15,25)","[70,Inf)",0.0625444455822922
"[25,50)","[0,15)",3.54528713373548
"[25,50)","[15,25)",2.89456813655378
"[25,50)","[25,50)",7.23376162854454
"[25,50)","[50,70)",1.40891294183922
"[25,50)","[70,Inf)",0.108285653390159
"[50,70)","[0,15)",1.84387492850464
"[50,70)","[15,25)",1.61074317236721
"[50,70)","[25,50)",4.31253586974712
"[50,70)","[50,70)",1.68898927718972
"[50,70)","[70,Inf)",0.183652739477225
"[70,Inf)","[0,15)",0.856156360919859
"[70,Inf)","[15,25)",0.467087778252456
"[70,Inf)","[25,50)",1.42139074705601
"[70,Inf)","[50,70)",0.787574074601473
"[70,Inf)","[70,Inf)",0.291663828003296
