"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0338018857605583
"[0,15)","[15,25)",0.0640456111024741
"[0,15)","[25,50)",0.214042114587912
"[0,15)","[50,70)",0.0378054547661448
"[0,15)","[70,Inf)",0.000772353914051704
"[15,25)","[0,15)",0.105654083725214
"[15,25)","[15,25)",0.685718540002016
"[15,25)","[25,50)",1.19102693204392
"[15,25)","[50,70)",0.191704661821005
"[15,25)","[70,Inf)",0.0075482589265718
"[25,50)","[0,15)",0.200892323134714
"[25,50)","[15,25)",0.677623994918775
"[25,50)","[25,50)",3.16928938902068
"[25,50)","[50,70)",0.503175301370655
"[25,50)","[70,Inf)",0.0216668798260991
"[50,70)","[0,15)",0.108609330525731
"[50,70)","[15,25)",0.333847731888754
"[50,70)","[25,50)",1.54016722502318
"[50,70)","[50,70)",0.427702286891462
"[50,70)","[70,Inf)",0.0199543333867788
"[70,Inf)","[0,15)",0.0095153117684617
"[70,Inf)","[15,25)",0.056371104721806
"[70,Inf)","[25,50)",0.284406119723251
"[70,Inf)","[50,70)",0.0855719097690371
"[70,Inf)","[70,Inf)",0.004921162835459
