"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",1.84460989104777
"[0,15)","[15,25)",0.424161231799933
"[0,15)","[25,50)",1.19955060692655
"[0,15)","[50,70)",0.556499540072436
"[0,15)","[70,Inf)",0.254274341204491
"[15,25)","[0,15)",0.567316842406436
"[15,25)","[15,25)",2.46991217662602
"[15,25)","[25,50)",1.72641059001963
"[15,25)","[50,70)",0.675165421452987
"[15,25)","[70,Inf)",0.251219701008885
"[25,50)","[0,15)",0.487614165414397
"[25,50)","[15,25)",0.524695240499008
"[25,50)","[25,50)",2.41772960880491
"[25,50)","[50,70)",1.30186166288851
"[25,50)","[70,Inf)",0.399690498668286
"[50,70)","[0,15)",0.260600858920516
"[50,70)","[15,25)",0.236388595045918
"[50,70)","[25,50)",1.49974745069634
"[50,70)","[50,70)",1.87522390568844
"[50,70)","[70,Inf)",0.903617953924149
"[70,Inf)","[0,15)",0.142204803682363
"[70,Inf)","[15,25)",0.105043871159892
"[70,Inf)","[25,50)",0.549892523623113
"[70,Inf)","[50,70)",1.07915927478143
"[70,Inf)","[70,Inf)",1.07816938246652
