"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.55761711940048
"[0,15)","[15,25)",0.228906092346766
"[0,15)","[25,50)",0.627522850138556
"[0,15)","[50,70)",0.275574959397812
"[0,15)","[70,Inf)",0.0116409175349148
"[15,25)","[0,15)",0.307099094575606
"[15,25)","[15,25)",3.12168623668603
"[15,25)","[25,50)",0.505094618339206
"[15,25)","[50,70)",0.193114756909273
"[15,25)","[70,Inf)",0.00262141729662657
"[25,50)","[0,15)",0.255086387420344
"[25,50)","[15,25)",0.153514527564649
"[25,50)","[25,50)",0.222267329680938
"[25,50)","[50,70)",0.0738269785758947
"[25,50)","[70,Inf)",0.00294042514570317
"[50,70)","[0,15)",0.12904785349276
"[50,70)","[15,25)",0.0676132464991703
"[50,70)","[25,50)",0.0850485360539839
"[50,70)","[50,70)",0.0691069174239844
"[50,70)","[70,Inf)",0.0118117501643704
"[70,Inf)","[0,15)",0.00651026912465321
"[70,Inf)","[15,25)",0.00109610758892439
"[70,Inf)","[25,50)",0.00404542467054614
"[70,Inf)","[50,70)",0.0141064107710854
"[70,Inf)","[70,Inf)",0.00640290511235521
