"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",12.5940488242435
"[0,15)","[15,25)",1.18906225367778
"[0,15)","[25,50)",3.95815401955517
"[0,15)","[50,70)",1.01601023005044
"[0,15)","[70,Inf)",0.128565831654832
"[15,25)","[0,15)",2.59381722203009
"[15,25)","[15,25)",8.02093631760166
"[15,25)","[25,50)",5.13293455920256
"[15,25)","[50,70)",1.38011201108043
"[15,25)","[70,Inf)",0.12014140471625
"[25,50)","[0,15)",3.2335662631679
"[25,50)","[15,25)",1.92229495578749
"[25,50)","[25,50)",7.25925453071581
"[25,50)","[50,70)",2.20638788034926
"[25,50)","[70,Inf)",0.209149985816103
"[50,70)","[0,15)",1.57962692603559
"[50,70)","[15,25)",0.98363960355315
"[50,70)","[25,50)",4.199032488761
"[50,70)","[50,70)",2.65427964283896
"[50,70)","[70,Inf)",0.359214121789151
"[70,Inf)","[0,15)",0.728505419785419
"[70,Inf)","[15,25)",0.312079435995844
"[70,Inf)","[25,50)",1.45069457662446
"[70,Inf)","[50,70)",1.30919451806881
"[70,Inf)","[70,Inf)",0.525327662720755
