"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.992266999725945
"[0,15)","[15,25)",0.362598394425335
"[0,15)","[25,50)",2.09314262389345
"[0,15)","[50,70)",0.682230273797397
"[0,15)","[70,Inf)",0.139240468590147
"[15,25)","[0,15)",0.41159811776679
"[15,25)","[15,25)",0.828880535776017
"[15,25)","[25,50)",1.38683404648195
"[15,25)","[50,70)",0.837289743459713
"[15,25)","[70,Inf)",0.110813500128867
"[25,50)","[0,15)",0.711048722578571
"[25,50)","[15,25)",0.415028127133485
"[25,50)","[25,50)",1.29427425699081
"[25,50)","[50,70)",0.736172687733234
"[25,50)","[70,Inf)",0.169761991960174
"[50,70)","[0,15)",0.288832732397878
"[50,70)","[15,25)",0.312279653971109
"[50,70)","[25,50)",0.917475727561582
"[50,70)","[50,70)",1.23148485139608
"[50,70)","[70,Inf)",0.236136280727459
"[70,Inf)","[0,15)",0.154051048698204
"[70,Inf)","[15,25)",0.108005122099479
"[70,Inf)","[25,50)",0.552890472956976
"[70,Inf)","[50,70)",0.617087117428424
"[70,Inf)","[70,Inf)",0.491221801250702
