"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.60970557856128
"[0,15)","[15,25)",0.257393968582549
"[0,15)","[25,50)",0.753314755980159
"[0,15)","[50,70)",0.333964169076072
"[0,15)","[70,Inf)",0.00604937314571168
"[15,25)","[0,15)",0.295062975098184
"[15,25)","[15,25)",3.10730829222167
"[15,25)","[25,50)",0.5996723347622
"[15,25)","[50,70)",0.227867525983196
"[15,25)","[70,Inf)",0.00143488997491626
"[25,50)","[0,15)",0.255903964127839
"[25,50)","[15,25)",0.179471291281857
"[25,50)","[25,50)",0.27503445091387
"[25,50)","[50,70)",0.08728502915479
"[25,50)","[70,Inf)",0.00172172907489619
"[50,70)","[0,15)",0.141388893430834
"[50,70)","[15,25)",0.0849865804772141
"[50,70)","[25,50)",0.108781587433954
"[50,70)","[50,70)",0.0808769008557323
"[50,70)","[70,Inf)",0.006286532122993
"[70,Inf)","[0,15)",0.00669282634926139
"[70,Inf)","[15,25)",0.00139852515045482
"[70,Inf)","[25,50)",0.00560742479239083
"[70,Inf)","[50,70)",0.0164276550893688
"[70,Inf)","[70,Inf)",0.00447219362697705
