"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",0.0137796079806068
"[0,15)","[15,25)",0.0392117956174968
"[0,15)","[25,50)",0.231511341945545
"[0,15)","[50,70)",0.088544729132962
"[0,15)","[70,Inf)",0.00326909909858737
"[15,25)","[0,15)",0.0445106804623238
"[15,25)","[15,25)",0.420621651902455
"[15,25)","[25,50)",1.30760536711798
"[15,25)","[50,70)",0.47931425451693
"[15,25)","[70,Inf)",0.0337026597165304
"[25,50)","[0,15)",0.078645306857604
"[25,50)","[15,25)",0.391317914296484
"[25,50)","[25,50)",3.33100728221017
"[25,50)","[50,70)",1.20294742460239
"[25,50)","[70,Inf)",0.10373582552149
"[50,70)","[0,15)",0.0374867798119706
"[50,70)","[15,25)",0.17876737498955
"[50,70)","[25,50)",1.49920675134493
"[50,70)","[50,70)",0.902490716504139
"[50,70)","[70,Inf)",0.084354305050193
"[70,Inf)","[0,15)",0.00361682310850378
"[70,Inf)","[15,25)",0.0328485236323008
"[70,Inf)","[25,50)",0.337852713513246
"[70,Inf)","[50,70)",0.22044031008594
"[70,Inf)","[70,Inf)",0.0166704389946258
