"age_group_from","age_group_to","contacts"
"[0,15)","[0,15)",4.60112819225889
"[0,15)","[15,25)",0.224004150413363
"[0,15)","[25,50)",0.988623303046065
"[0,15)","[50,70)",0.265347002334719
"[0,15)","[70,Inf)",0.000955788995950704
"[15,25)","[0,15)",0.425588706554168
"[15,25)","[15,25)",3.43313713838298
"[15,25)","[25,50)",0.791818117582255
"[15,25)","[50,70)",0.203110485697559
"[15,25)","[70,Inf)",0.000271584808962046
"[25,50)","[0,15)",0.433650897544117
"[25,50)","[15,25)",0.180133919734195
"[25,50)","[25,50)",0.333276152916098
"[25,50)","[50,70)",0.0681370121606416
"[25,50)","[70,Inf)",0.00035476070140986
"[50,70)","[0,15)",0.289003162922008
"[50,70)","[15,25)",0.11472489962879
"[50,70)","[25,50)",0.169181889022419
"[50,70)","[50,70)",0.0674018331120196
"[50,70)","[70,Inf)",0.000952502532644695
"[70,Inf)","[0,15)",0.0123220633118696
"[70,Inf)","[15,25)",0.00181578245528914
"[70,Inf)","[25,50)",0.0104267151264043
"[70,Inf)","[50,70)",0.0112711685360811
"[70,Inf)","[70,Inf)",0.00132220608616528
